Site,Trap,Date,Date_cal,Round,Genus,Species,Sex,correction_10g,Unadjusted_weight,Mass_g,Elytra_length_mm
HUGH 123,0,26-06-2017,177,2,Nicrophorus,orbicollis,F,0.9745,0.224,0.23,8.52
BONW 101,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9781,0.225,0.23,9.17
MASS 4,0,28-09-2017,271,4,Nicrophorus,orbicollis,F,0.9777,0.226,0.231,10.15
BONW 90,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9775,0.226,0.231,9
CAPE 48,0,28-06-2017,179,2,Nicrophorus,orbicollis,F,0.9773,0.228,0.233,9.21
PANG 108,0,11-08-2017,223,3,Nicrophorus,orbicollis,F,0.9766,0.228,0.233,10.25
PANG 32,0,03-08-2017,215,3,Nicrophorus,orbicollis,F,0.9803,0.229,0.234,8.75
PANG 140,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9741,0.228,0.234,8.84
CAPE 49,0,28-06-2017,179,2,Nicrophorus,orbicollis,F,0.9739,0.228,0.234,8.93
CAPE 57,0,12-07-2017,193,2,Nicrophorus,orbicollis,F,0.9824,0.23,0.234,9.09
MASS 4,0,28-09-2017,271,4,Nicrophorus,orbicollis,F,0.9777,0.23,0.235,10.41
BONW 94,0,18-08-2017,230,3,Nicrophorus,orbicollis,F,0.9845,0.233,0.237,9.21
MOOR 46,6,31-07-2017,212,3,Nicrophorus,orbicollis,F,0.9796,0.232,0.237,10.02
BONW 98,0,16-06-2017,167,2,Nicrophorus,orbicollis,F,0.9831,0.233,0.237,9.13
TURID 204,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9788,0.233,0.238,9.27
BONW 107,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9821,0.234,0.238,8.94
HUGH 137,6,29-06-2017,180,2,Nicrophorus,orbicollis,F,0.9762,0.233,0.239,8.68
BOST 16,0,21-10-2017,294,4,Nicrophorus,orbicollis,F,0.9731,0.233,0.239,11
BONW 89,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9772,0.234,0.239,9.64
CAPE 47,0,17-08-2017,229,3,Nicrophorus,orbicollis,F,0.9785,0.235,0.24,9.86
PANG 41,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9846,0.237,0.241,9.52
BONW 103,0,06-07-2017,187,2,Nicrophorus,orbicollis,F,0.9787,0.236,0.241,9.75
MASS 125,0,07-08-2017,219,3,Nicrophorus,orbicollis,F,0.9739,0.235,0.241,9.16
CAPE 56,0,15-06-2017,166,2,Nicrophorus,orbicollis,F,0.9771,0.236,0.242,9.42
BONW 112,0,16-06-2017,167,2,Nicrophorus,orbicollis,F,0.9747,0.236,0.242,9.22
CAPE 47,0,17-08-2017,229,3,Nicrophorus,orbicollis,F,0.9785,0.237,0.242,9.23
MASS 124,0,16-08-2017,228,3,Nicrophorus,orbicollis,F,0.98,0.239,0.244,8.86
PANG 121,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9798,0.24,0.245,9.86
BONW 98,0,16-06-2017,167,2,Nicrophorus,orbicollis,F,0.9831,0.242,0.246,9.19
CAPE 57,6,17-08-2017,229,3,Nicrophorus,orbicollis,F,0.9746,0.24,0.246,8.91
MOOR 142,0,12-06-2017,163,2,Nicrophorus,orbicollis,F,0.9778,0.241,0.246,9.48
CAPE 56,0,15-06-2017,166,2,Nicrophorus,orbicollis,F,0.9771,0.241,0.247,8.92
BOST 16,0,11-06-2017,162,2,Nicrophorus,orbicollis,F,0.9764,0.241,0.247,9.46
BONW 101,0,30-06-2017,181,2,Nicrophorus,orbicollis,F,0.9755,0.241,0.247,9.13
MOOR 142,0,12-06-2017,163,2,Nicrophorus,orbicollis,F,0.9778,0.242,0.247,9.48
BONW 199,0,04-08-2017,216,3,Nicrophorus,orbicollis,F,0.9749,0.242,0.248,10.05
BONW 103,0,18-08-2017,230,3,Nicrophorus,orbicollis,F,0.9849,0.245,0.249,10.12
CAPE 51,0,12-07-2017,193,2,Nicrophorus,orbicollis,F,0.9846,0.245,0.249,9.51
BOST 17,0,01-08-2017,213,3,Nicrophorus,orbicollis,F,0.9753,0.243,0.249,9.95
MASS 6,6,21-06-2017,172,2,Nicrophorus,orbicollis,F,0.9791,0.244,0.249,9.95
