Site,Trap,Date,Date_cal,Round,Genus,Species,Sex,correction_10g,Unadjusted_weight,Mass_g,Elytra_length_mm
MASS 117,0,16-08-2017,228,3,Necrophila,americana,F,0.9842,0.268,0.272,13.44
CAPE 60,0,08-08-2017,220,3,Necrophila,americana,F,0.9767,0.266,0.272,13.71
BONW 129,0,16-06-2017,167,2,Necrophila,americana,F,0.9832,0.268,0.273,12.17
CAPE 47,0,17-08-2017,229,3,Necrophila,americana,F,0.9776,0.267,0.273,12.46
MASS 120,0,05-07-2017,186,2,Necrophila,americana,F,0.9797,0.268,0.274,12.12
CAPE 53,0,08-08-2017,220,3,Necrophila,americana,F,0.9793,0.268,0.274,13.34
PANG 118,0,03-08-2017,215,3,Necrophila,americana,F,0.979,0.268,0.274,11.91
HUGH 137,0,22-08-2017,234,3,Necrophila,americana,F,0.9746,0.267,0.274,11.82
BONW 101,0,14-08-2017,226,3,Necrophila,americana,F,0.9778,0.268,0.274,12.97
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.27,0.274,12.6
PANG 121,0,21-08-2017,233,3,Necrophila,americana,F,0.9772,0.268,0.274,13.46
BRAC 81,0,19-06-2017,170,2,Necrophila,americana,F,0.9797,0.269,0.275,12.77
MASS 15,0,07-08-2017,219,3,Necrophila,americana,F,0.9751,0.268,0.275,13.58
QUBS 110,0,11-08-2017,223,3,Necrophila,americana,F,0.9822,0.27,0.275,13.08
BONW 92,0,18-08-2017,230,3,Necrophila,americana,F,0.9819,0.27,0.275,13.6
BONW 92,0,18-08-2017,230,3,Necrophila,americana,F,0.9819,0.27,0.275,13.39
CAPE 55,0,17-08-2017,229,3,Necrophila,americana,F,0.978,0.269,0.275,12.69
CAPE 47,0,12-07-2017,193,2,Necrophila,americana,F,0.9815,0.27,0.275,13.22
CAPE 47,0,12-07-2017,193,2,Necrophila,americana,F,0.9815,0.27,0.275,12.37
PANG 41,0,10-07-2017,191,2,Necrophila,americana,F,0.985,0.271,0.275,10.69
BONW 94,0,18-08-2017,230,3,Necrophila,americana,F,0.9858,0.272,0.276,13.44
TURID 204,0,14-08-2017,226,3,Necrophila,americana,F,0.978,0.27,0.276,12.84
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.272,0.276,12.55
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.272,0.276,11.76
PANG 23,0,20-08-2017,232,3,Necrophila,americana,F,0.9836,0.272,0.277,12.54
BONW 107,0,14-08-2017,226,3,Necrophila,americana,F,0.9821,0.272,0.277,13.18
MASS 202,0,23-08-2017,235,3,Necrophila,americana,F,0.9746,0.27,0.277,14.1
CAPE 47,0,17-08-2017,229,3,Necrophila,americana,F,0.9776,0.271,0.277,12.83
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.273,0.277,12.16
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.273,0.277,12.14
BONW 103,0,18-08-2017,230,3,Necrophila,americana,F,0.9846,0.273,0.277,12.56
BONW 103,6,06-07-2017,187,2,Necrophila,americana,F,0.9842,0.273,0.277,12.63
BRAC 81,0,19-06-2017,170,2,Necrophila,americana,F,0.9797,0.272,0.278,13.1
BRAC 81,0,19-06-2017,170,2,Necrophila,americana,F,0.9797,0.272,0.278,12.76
PANG 114,0,11-08-2017,223,3,Necrophila,americana,F,0.9827,0.273,0.278,12.34
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.274,0.278,11.35
BONW 103,0,18-08-2017,230,3,Necrophila,americana,F,0.9846,0.274,0.278,14.11
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9843,0.274,0.278,10.25
MASS 117,0,16-08-2017,228,3,Necrophila,americana,F,0.9842,0.274,0.278,13.08
PANG 121,0,10-07-2017,191,2,Necrophila,americana,F,0.9801,0.273,0.279,12.38
PANG 23,0,20-08-2017,232,3,Necrophila,americana,F,0.9836,0.274,0.279,13.54
PANG 35,0,22-08-2017,234,3,Necrophila,americana,F,0.9795,0.273,0.279,12.36
PANG 115,0,03-08-2017,215,3,Necrophila,americana,F,0.9751,0.272,0.279,11.58
MASS 15,0,07-08-2017,219,3,Necrophila,americana,F,0.9751,0.272,0.279,13.36
HUGH 131,0,25-08-2017,237,3,Necrophila,americana,F,0.9819,0.274,0.279,12.66
BONW 90,0,14-08-2017,226,3,Necrophila,americana,F,0.9778,0.273,0.279,14.25
BRAC 81,0,09-08-2017,221,3,Necrophila,americana,F,0.9777,0.273,0.279,12.42
HUGH 137,0,22-08-2017,234,3,Necrophila,americana,F,0.9741,0.272,0.279,13.23
MASS 124,0,16-08-2017,228,3,Necrophila,americana,F,0.98,0.274,0.28,13.36
BOST 16,0,11-06-2017,162,2,Necrophila,americana,F,0.9764,0.273,0.28,12.7
HUGH 133,0,10-08-2017,222,3,Necrophila,americana,F,0.9835,0.275,0.28,13.03
PANG 104,0,13-06-2017,164,2,Necrophila,americana,F,0.9761,0.273,0.28,11.75
HUGH 116,6,10-08-2017,222,3,Necrophila,americana,F,0.9778,0.274,0.28,13.56
HUGH 19,0,25-08-2017,237,3,Necrophila,americana,F,0.9741,0.273,0.28,13.96
BONW 106,6,18-08-2017,230,3,Necrophila,americana,F,0.9776,0.274,0.28,12.54
HUGH 133,0,10-08-2017,222,3,Necrophila,americana,F,0.9835,0.276,0.281,13.53
BRAC 81,0,19-06-2017,170,2,Necrophila,americana,F,0.9797,0.275,0.281,13.36
MASS 12,0,16-08-2017,228,3,Necrophila,americana,F,0.976,0.274,0.281,12.71
MASS 4,6,07-08-2017,219,3,Necrophila,americana,F,0.976,0.274,0.281,13.5
BONW 94,0,18-08-2017,230,3,Necrophila,americana,F,0.9858,0.277,0.281,13.08
MASS 15,0,07-08-2017,219,3,Necrophila,americana,F,0.9751,0.274,0.281,13.3
PANG 41,0,12-08-2017,224,3,Necrophila,americana,F,0.9822,0.276,0.281,12.97
HUGH 19,0,25-08-2017,237,3,Necrophila,americana,F,0.9744,0.274,0.281,12.39
BRAC 122,0,27-06-2017,178,2,Necrophila,americana,F,0.9773,0.275,0.281,11.56
PANG 36,0,11-06-2017,162,2,Necrophila,americana,F,0.9772,0.275,0.281,12.49
BRAC 105,0,24-08-2017,236,3,Necrophila,americana,F,0.977,0.275,0.281,12.34
HUGH 73,0,12-06-2017,163,2,Necrophila,americana,F,0.9803,0.276,0.282,13.46
MASS 3,6,07-08-2017,219,3,Necrophila,americana,F,0.9815,0.277,0.282,12.66
HUGH 116,6,10-08-2017,222,3,Necrophila,americana,F,0.9778,0.276,0.282,13.54
BRAC 81,0,09-08-2017,221,3,Necrophila,americana,F,0.9777,0.276,0.282,13.33
BONW 90,0,14-08-2017,226,3,Necrophila,americana,F,0.9774,0.276,0.282,13.676
MASS 111,0,09-08-2017,221,3,Necrophila,americana,F,0.9839,0.278,0.283,12.88
HUGH 73,0,12-06-2017,163,2,Necrophila,americana,F,0.9803,0.277,0.283,12.88
HUGH 126,0,22-06-2017,173,2,Necrophila,americana,F,0.9732,0.275,0.283,12.26
HUGH 133,0,10-08-2017,222,3,Necrophila,americana,F,0.9835,0.278,0.283,12.99
PANG 118,0,03-08-2017,215,3,Necrophila,americana,F,0.979,0.277,0.283,13.17
MASS 139,0,21-06-2017,172,2,Necrophila,americana,F,0.9825,0.278,0.283,11.89
BONW 92,0,18-08-2017,230,3,Necrophila,americana,F,0.9818,0.278,0.283,14.05
MASS 202,0,23-08-2017,235,3,Necrophila,americana,F,0.9746,0.276,0.283,11.32
HUGH 19,0,25-08-2017,237,3,Necrophila,americana,F,0.9741,0.276,0.283,13.27
BRAC 81,0,16-09-2017,259,4,Necrophila,americana,F,0.9768,0.277,0.284,11.32
HUGH 73,0,12-06-2017,163,2,Necrophila,americana,F,0.9803,0.278,0.284,12.57
BONW 129,0,16-06-2017,167,2,Necrophila,americana,F,0.9832,0.279,0.284,12.34
MASS 200,0,18-05-2017,138,1,Necrophila,americana,F,0.976,0.277,0.284,13.22
MASS 15,0,07-08-2017,219,3,Necrophila,americana,F,0.9751,0.277,0.284,12.81
BONW 92,0,18-08-2017,230,3,Necrophila,americana,F,0.9819,0.279,0.284,13.06
BONW 101,0,14-08-2017,226,3,Necrophila,americana,F,0.9778,0.278,0.284,13.2
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.28,0.284,13.02
MASS 203,0,23-08-2017,235,3,Necrophila,americana,F,0.98,0.279,0.285,13.83
MASS 203,0,04-07-2017,185,2,Necrophila,americana,F,0.9752,0.278,0.285,12.88
HUGH 126,6,10-08-2017,222,3,Necrophila,americana,F,0.9784,0.279,0.285,13.02
BONW 129,0,04-08-2017,216,3,Necrophila,americana,F,0.9819,0.28,0.285,13.46
BONW 103,0,18-08-2017,230,3,Necrophila,americana,F,0.9846,0.281,0.285,13.45
BRAC 122,0,27-06-2017,178,2,Necrophila,americana,F,0.9773,0.279,0.285,12.66
MASS 117,0,16-08-2017,228,3,Necrophila,americana,F,0.9842,0.281,0.286,13.38
MASS 203,0,23-08-2017,235,3,Necrophila,americana,F,0.98,0.28,0.286,12.34
BONW 89,0,14-08-2017,226,3,Necrophila,americana,F,0.9761,0.279,0.286,12.89
BONW 89,0,14-08-2017,226,3,Necrophila,americana,F,0.9761,0.279,0.286,12.17
BOST 17,0,01-08-2017,213,3,Necrophila,americana,F,0.976,0.279,0.286,13.49
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.282,0.286,11.39
BRAC 122,0,27-06-2017,178,2,Necrophila,americana,F,0.9773,0.28,0.287,13.04
MASS 12,0,16-08-2017,228,3,Necrophila,americana,F,0.9755,0.28,0.287,13.87
MASS 7,0,02-08-2017,214,3,Necrophila,americana,F,0.975,0.28,0.287,14.07
BONW 101,0,14-08-2017,226,3,Necrophila,americana,F,0.9778,0.281,0.287,13.31
CAPE 51,0,17-08-2017,229,3,Necrophila,americana,F,0.9807,0.282,0.288,13.15
HUGH 126,0,22-06-2017,173,2,Necrophila,americana,F,0.9732,0.28,0.288,12.04
MASS 200,0,04-07-2017,185,2,Necrophila,americana,F,0.9799,0.282,0.288,13.08
QUBS 110,0,11-08-2017,223,3,Necrophila,americana,F,0.9822,0.283,0.288,13.1
HUGH 19,0,26-06-2017,177,2,Necrophila,americana,F,0.9779,0.282,0.288,13.47
BRAC 81,0,09-08-2017,221,3,Necrophila,americana,F,0.9772,0.282,0.289,12.92
BRAC 81,0,09-08-2017,221,3,Necrophila,americana,F,0.9772,0.282,0.289,12.73
HUGH 73,0,12-06-2017,163,2,Necrophila,americana,F,0.9803,0.283,0.289,12.84
QUBS 42,0,20-06-2017,171,2,Necrophila,americana,F,0.9767,0.282,0.289,13.34
MASS 10,0,09-08-2017,221,3,Necrophila,americana,F,0.9801,0.283,0.289,12.65
MASS 124,0,16-08-2017,228,3,Necrophila,americana,F,0.98,0.283,0.289,13.86
BONW 103,0,18-08-2017,230,3,Necrophila,americana,F,0.9846,0.285,0.289,12.83
BONW 106,6,18-08-2017,230,3,Necrophila,americana,F,0.9776,0.283,0.289,13.4
HUGH 137,0,22-08-2017,234,3,Necrophila,americana,F,0.9741,0.282,0.289,13.33
BRAC 81,0,09-08-2017,221,3,Necrophila,americana,F,0.9772,0.283,0.29,12.9
PANG 121,0,21-08-2017,233,3,Necrophila,americana,F,0.9772,0.283,0.29,12.67
MASS 15,0,23-06-2017,174,2,Necrophila,americana,F,0.9766,0.283,0.29,13.15
BOST 16,0,11-06-2017,162,2,Necrophila,americana,F,0.9764,0.283,0.29,11.93
MASS 120,0,05-07-2017,186,2,Necrophila,americana,F,0.9797,0.284,0.29,13.07
HUGH 137,0,22-08-2017,234,3,Necrophila,americana,F,0.9746,0.283,0.29,12.47
PANG 121,0,21-08-2017,233,3,Necrophila,americana,F,0.9772,0.284,0.291,14.04
BRAC 81,0,19-06-2017,170,2,Necrophila,americana,F,0.9797,0.285,0.291,13.22
BRAC 84,0,09-08-2017,221,3,Necrophila,americana,F,0.9756,0.284,0.291,13.39
QUBS 110,0,11-08-2017,223,3,Necrophila,americana,F,0.9822,0.286,0.291,12.95
BONW 92,0,18-08-2017,230,3,Necrophila,americana,F,0.9819,0.286,0.291,13.65
BONW 92,0,18-08-2017,230,3,Necrophila,americana,F,0.9818,0.286,0.291,14.46
TURID 204,0,14-08-2017,226,3,Necrophila,americana,F,0.978,0.285,0.291,10.84
HUGH 19,0,26-06-2017,177,2,Necrophila,americana,F,0.9779,0.285,0.291,13.13
HUGH 19,0,25-08-2017,237,3,Necrophila,americana,F,0.9741,0.284,0.292,13.04
CAPE 100,0,08-08-2017,220,3,Necrophila,americana,F,0.9809,0.286,0.292,12.72
MASS 111,0,09-08-2017,221,3,Necrophila,americana,F,0.9839,0.287,0.292,13.2
MASS 141,0,07-08-2017,219,3,Necrophila,americana,F,0.977,0.285,0.292,12.79
CAPE 60,0,08-08-2017,220,3,Necrophila,americana,F,0.9767,0.285,0.292,14.14
HUGH 79,0,10-08-2017,222,3,Necrophila,americana,F,0.9765,0.285,0.292,13.6
BRAC 81,0,19-06-2017,170,2,Necrophila,americana,F,0.9797,0.286,0.292,13.62
PANG 104,0,13-06-2017,164,2,Necrophila,americana,F,0.9761,0.285,0.292,12.99
HUGH 69,0,26-06-2017,177,2,Necrophila,americana,F,0.9776,0.286,0.293,12.31
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9843,0.288,0.293,11.35
HUGH 73,0,12-06-2017,163,2,Necrophila,americana,F,0.9803,0.287,0.293,13.23
QUBS 42,0,20-08-2017,232,3,Necrophila,americana,F,0.9768,0.286,0.293,12.79
MASS 139,0,02-08-2017,214,3,Necrophila,americana,F,0.9818,0.288,0.293,13.47
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.289,0.293,11.83
BONW 101,0,14-08-2017,226,3,Necrophila,americana,F,0.9778,0.287,0.294,13.79
BONW 106,6,18-08-2017,230,3,Necrophila,americana,F,0.9776,0.287,0.294,13.35
HUGH 70,0,26-06-2017,177,2,Necrophila,americana,F,0.9739,0.286,0.294,13.82
BRAC 132,6,24-08-2017,236,3,Necrophila,americana,F,0.9771,0.287,0.294,13.09
BRAC 81,0,19-06-2017,170,2,Necrophila,americana,F,0.9797,0.288,0.294,13.66
MASS 7,0,21-06-2017,172,2,Necrophila,americana,F,0.9787,0.288,0.294,12.99
MASS 125,0,23-06-2017,174,2,Necrophila,americana,F,0.9747,0.287,0.294,12.2
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.29,0.295,13.13
MASS 117,0,16-08-2017,228,3,Necrophila,americana,F,0.9842,0.29,0.295,13.34
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.291,0.296,12.61
BONW 96,0,04-08-2017,216,3,Necrophila,americana,F,0.9744,0.288,0.296,13.1
CAPE 100,0,08-08-2017,220,3,Necrophila,americana,F,0.9809,0.29,0.296,13.68
HUGH 19,0,25-08-2017,237,3,Necrophila,americana,F,0.9741,0.288,0.296,13.57
HUGH 19,0,25-08-2017,237,3,Necrophila,americana,F,0.9741,0.288,0.296,13.12
HUGH 133,0,10-08-2017,222,3,Necrophila,americana,F,0.9835,0.291,0.296,13.85
BOST 113,0,01-08-2017,213,3,Necrophila,americana,F,0.9794,0.29,0.296,13.64
BONW 94,0,18-08-2017,230,3,Necrophila,americana,F,0.9858,0.292,0.296,13.13
BONW 92,0,18-08-2017,230,3,Necrophila,americana,F,0.9818,0.291,0.296,13.73
TURID 204,6,14-08-2017,226,3,Necrophila,americana,F,0.9747,0.289,0.297,11.21
BONW 103,0,18-08-2017,230,3,Necrophila,americana,F,0.9846,0.292,0.297,13.57
BONW 106,6,18-08-2017,230,3,Necrophila,americana,F,0.9776,0.29,0.297,14.3
MOOR 43,0,31-07-2017,212,3,Necrophila,americana,F,0.9773,0.29,0.297,12.69
HUGH 79,0,10-08-2017,222,3,Necrophila,americana,F,0.9765,0.29,0.297,13.46
MASS 138,0,21-06-2017,172,2,Necrophila,americana,F,0.9797,0.291,0.297,12.85
PANG 140,0,21-08-2017,233,3,Necrophila,americana,F,0.9754,0.29,0.297,11.92
MASS 7,0,21-06-2017,172,2,Necrophila,americana,F,0.9787,0.291,0.297,13.55
BONW 92,0,18-08-2017,230,3,Necrophila,americana,F,0.9818,0.292,0.297,14.38
HUGH 126,6,10-08-2017,222,3,Necrophila,americana,F,0.9784,0.291,0.297,13.74
CAPE 100,0,15-06-2017,166,2,Necrophila,americana,F,0.9746,0.29,0.298,13.51
MASS 141,0,23-06-2017,174,2,Necrophila,americana,F,0.9799,0.292,0.298,13.25
BONW 129,0,16-06-2017,167,2,Necrophila,americana,F,0.9832,0.293,0.298,12.35
BRAC 84,0,09-08-2017,221,3,Necrophila,americana,F,0.9756,0.291,0.298,13.13
PANG 33,0,21-08-2017,233,3,Necrophila,americana,F,0.9819,0.293,0.298,14.01
HUGH 123,0,26-06-2017,177,2,Necrophila,americana,F,0.9747,0.291,0.299,12.97
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.294,0.299,13
CAPE 56,0,15-06-2017,166,2,Necrophila,americana,F,0.9771,0.292,0.299,13.54
MASS 15,0,07-08-2017,219,3,Necrophila,americana,F,0.9751,0.292,0.299,12.81
HUGH 126,0,22-06-2017,173,2,Necrophila,americana,F,0.9732,0.292,0.3,13.48
HUGH 133,0,22-06-2017,173,2,Necrophila,americana,F,0.9765,0.293,0.3,12.66
MASS 138,0,21-06-2017,172,2,Necrophila,americana,F,0.9797,0.294,0.3,13.08
PANG 118,0,13-06-2017,164,2,Necrophila,americana,F,0.9763,0.293,0.3,12.59
BONW 92,0,18-08-2017,230,3,Necrophila,americana,F,0.9818,0.295,0.3,14.14
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.296,0.301,13.6
CAPE 63,0,15-08-2017,227,3,Necrophila,americana,F,0.9846,0.296,0.301,13.26
BRAC 81,0,09-08-2017,221,3,Necrophila,americana,F,0.9777,0.294,0.301,13.55
BRAC 122,0,27-06-2017,178,2,Necrophila,americana,F,0.9773,0.294,0.301,12.79
HUGH 73,0,12-06-2017,163,2,Necrophila,americana,F,0.9803,0.295,0.301,13.67
PANG 23,0,20-08-2017,232,3,Necrophila,americana,F,0.9836,0.296,0.301,12.89
CAPE 64,0,12-07-2017,193,2,Necrophila,americana,F,0.9768,0.294,0.301,13.28
PANG 33,0,21-08-2017,233,3,Necrophila,americana,F,0.9819,0.296,0.301,12.81
MASS 7,6,02-08-2017,214,3,Necrophila,americana,F,0.9745,0.294,0.302,11.13
MASS 117,0,16-08-2017,228,3,Necrophila,americana,F,0.9842,0.297,0.302,13.14
PANG 121,0,21-08-2017,233,3,Necrophila,americana,F,0.9772,0.295,0.302,13.93
MASS 141,0,23-06-2017,174,2,Necrophila,americana,F,0.9799,0.296,0.302,12.93
BONW 92,0,18-08-2017,230,3,Necrophila,americana,F,0.9819,0.297,0.302,13.42
BONW 92,0,18-08-2017,230,3,Necrophila,americana,F,0.9819,0.297,0.302,13.3
MASS 15,0,07-08-2017,219,3,Necrophila,americana,F,0.9751,0.295,0.303,13.42
MASS 111,0,19-06-2017,170,2,Necrophila,americana,F,0.9784,0.296,0.303,13.65
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.298,0.303,12.77
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.298,0.303,12.74
BONW 103,0,18-08-2017,230,3,Necrophila,americana,F,0.9846,0.298,0.303,14.18
BONW 103,0,18-08-2017,230,3,Necrophila,americana,F,0.9846,0.298,0.303,14.01
CAPE 57,6,17-08-2017,229,3,Necrophila,americana,F,0.9746,0.295,0.303,13.03
TURID 204,0,14-08-2017,226,3,Necrophila,americana,F,0.978,0.297,0.304,12.78
MASS 10,0,19-06-2017,170,2,Necrophila,americana,F,0.9747,0.296,0.304,13.28
PANG 23,0,29-06-2017,180,2,Necrophila,americana,F,0.9747,0.296,0.304,12.33
BONW 90,0,14-08-2017,226,3,Necrophila,americana,F,0.9778,0.297,0.304,13.04
HUGH 73,0,12-06-2017,163,2,Necrophila,americana,F,0.9803,0.298,0.304,12.81
PANG 135,0,13-06-2017,164,2,Necrophila,americana,F,0.9802,0.298,0.304,12.6
HUGH 126,0,22-06-2017,173,2,Necrophila,americana,F,0.9732,0.296,0.304,13.4
CAPE 100,0,15-06-2017,166,2,Necrophila,americana,F,0.9746,0.297,0.305,13.48
PANG 23,0,20-08-2017,232,3,Necrophila,americana,F,0.9836,0.3,0.305,12.84
HUGH 79,0,10-08-2017,222,3,Necrophila,americana,F,0.9765,0.298,0.305,13.39
BONW 94,0,18-08-2017,230,3,Necrophila,americana,F,0.9858,0.301,0.305,12.88
PANG 33,0,21-08-2017,233,3,Necrophila,americana,F,0.9819,0.3,0.306,12.39
MASS 117,0,16-08-2017,228,3,Necrophila,americana,F,0.9842,0.301,0.306,13.26
CAPE 100,6,08-08-2017,220,3,Necrophila,americana,F,0.9742,0.298,0.306,13.74
BRAC 81,0,19-06-2017,170,2,Necrophila,americana,F,0.9797,0.3,0.306,13.13
MASS 111,0,09-08-2017,221,3,Necrophila,americana,F,0.9839,0.302,0.307,13.84
BRAC 122,0,27-06-2017,178,2,Necrophila,americana,F,0.9773,0.3,0.307,12.6
BONW 106,0,06-07-2017,187,2,Necrophila,americana,F,0.9802,0.301,0.307,12.86
MASS 3,0,23-06-2017,174,2,Necrophila,americana,F,0.9754,0.3,0.308,13.14
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.303,0.308,13.78
BRAC 81,0,09-08-2017,221,3,Necrophila,americana,F,0.9777,0.301,0.308,13.27
HUGH 19,0,25-08-2017,237,3,Necrophila,americana,F,0.9741,0.3,0.308,13.1
PANG 33,0,10-07-2017,191,2,Necrophila,americana,F,0.9734,0.3,0.308,12.07
MASS 138,0,21-06-2017,172,2,Necrophila,americana,F,0.9797,0.302,0.308,13.1
PANG 21,0,06-07-2017,187,2,Necrophila,americana,F,0.9796,0.302,0.308,12.3
CAPE 60,0,15-06-2017,166,2,Necrophila,americana,F,0.9746,0.301,0.309,12.57
PANG 23,0,20-08-2017,232,3,Necrophila,americana,F,0.9836,0.304,0.309,11.9
MASS 141,0,07-08-2017,219,3,Necrophila,americana,F,0.977,0.302,0.309,12.87
HUGH 137,0,29-06-2017,180,2,Necrophila,americana,F,0.9769,0.302,0.309,12.69
BONW 89,0,14-08-2017,226,3,Necrophila,americana,F,0.9761,0.302,0.309,13.55
MASS 3,0,23-06-2017,174,2,Necrophila,americana,F,0.9754,0.302,0.31,13.14
MASS 111,0,09-08-2017,221,3,Necrophila,americana,F,0.9839,0.305,0.31,13.32
MASS 141,0,23-06-2017,174,2,Necrophila,americana,F,0.9799,0.304,0.31,12.66
HUGH 79,0,10-08-2017,222,3,Necrophila,americana,F,0.9765,0.303,0.31,13.01
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.306,0.311,13.14
PANG 108,0,20-06-2017,171,2,Necrophila,americana,F,0.9847,0.306,0.311,11.9
BONW 96,0,04-08-2017,216,3,Necrophila,americana,F,0.9744,0.303,0.311,14.45
MASS 111,0,09-08-2017,221,3,Necrophila,americana,F,0.9839,0.306,0.311,13.33
CAPE 63,0,28-06-2017,179,2,Necrophila,americana,F,0.97661,0.304,0.311,13.81
PANG 35,0,22-08-2017,234,3,Necrophila,americana,F,0.9766,0.304,0.311,12.88
BONW 96,0,04-08-2017,216,3,Necrophila,americana,F,0.9744,0.304,0.312,13.63
BONW 106,0,06-07-2017,187,2,Necrophila,americana,F,0.9802,0.306,0.312,11.31
BRAC 81,0,19-06-2017,170,2,Necrophila,americana,F,0.9797,0.306,0.312,13.87
BRAC 81,0,19-06-2017,170,2,Necrophila,americana,F,0.9797,0.306,0.312,13.34
QUBS 110,6,11-08-2017,223,3,Necrophila,americana,F,0.9757,0.305,0.313,14.31
BONW 92,0,18-08-2017,230,3,Necrophila,americana,F,0.9818,0.307,0.313,14.53
MASS 15,0,07-08-2017,219,3,Necrophila,americana,F,0.9751,0.305,0.313,14.22
PANG 29,0,22-08-2017,234,3,Necrophila,americana,F,0.9808,0.307,0.313,13.3
BRAC 122,0,27-06-2017,178,2,Necrophila,americana,F,0.9773,0.306,0.313,13.4
MASS 124,0,16-08-2017,228,3,Necrophila,americana,F,0.98,0.307,0.313,13.23
CAPE 127,0,08-08-2017,220,3,Necrophila,americana,F,0.9778,0.307,0.314,12.72
HUGH 73,0,12-06-2017,163,2,Necrophila,americana,F,0.9803,0.308,0.314,13.29
HUGH 70,0,26-06-2017,177,2,Necrophila,americana,F,0.9739,0.306,0.314,13.71
BRAC 81,0,19-06-2017,170,2,Necrophila,americana,F,0.9797,0.308,0.314,14.04
MASS 3,0,23-06-2017,174,2,Necrophila,americana,F,0.9754,0.307,0.315,12.7
PANG 32,0,13-06-2017,164,2,Necrophila,americana,F,0.9813,0.309,0.315,13.53
HUGH 69,0,25-08-2017,237,3,Necrophila,americana,F,0.9748,0.307,0.315,12.75
BRAC 122,0,24-08-2017,236,3,Necrophila,americana,F,0.9771,0.308,0.315,12.51
PANG 35,0,22-08-2017,234,3,Necrophila,americana,F,0.9766,0.308,0.315,13.03
BRAC 81,0,09-08-2017,221,3,Necrophila,americana,F,0.9777,0.31,0.317,12.5
HUGH 68,0,22-06-2017,173,2,Necrophila,americana,F,0.9742,0.309,0.317,11.68
BRAC 81,0,16-09-2017,259,4,Necrophila,americana,F,0.9768,0.31,0.317,11.85
MASS 139,0,21-06-2017,172,2,Necrophila,americana,F,0.9825,0.312,0.318,12.58
PANG 41,0,12-08-2017,224,3,Necrophila,americana,F,0.9822,0.313,0.319,13.57
BRAC 81,0,09-08-2017,221,3,Necrophila,americana,F,0.9777,0.312,0.319,12.81
CAPE 47,0,17-08-2017,229,3,Necrophila,americana,F,0.9776,0.312,0.319,12.34
PANG 121,0,10-07-2017,191,2,Necrophila,americana,F,0.9801,0.313,0.319,14.07
BONW 129,0,16-06-2017,167,2,Necrophila,americana,F,0.9832,0.314,0.319,13.52
MASS 4,6,07-08-2017,219,3,Necrophila,americana,F,0.976,0.312,0.32,13.31
MOOR 46,0,31-07-2017,212,3,Necrophila,americana,F,0.9805,0.314,0.32,13.05
BRAC 122,0,27-06-2017,178,2,Necrophila,americana,F,0.9773,0.313,0.32,13.56
MASS 3,0,23-06-2017,174,2,Necrophila,americana,F,0.9754,0.313,0.321,12.95
MASS 9,0,21-06-2017,172,2,Necrophila,americana,F,0.9749,0.313,0.321,12.62
BONW 106,6,18-08-2017,230,3,Necrophila,americana,F,0.9776,0.314,0.321,13.16
HUGH 76,0,20-06-2017,171,2,Necrophila,americana,F,0.9769,0.314,0.321,13.57
BONW 106,0,18-08-2017,230,3,Necrophila,americana,F,0.9755,0.315,0.323,13.33
HUGH 137,0,22-08-2017,234,3,Necrophila,americana,F,0.9746,0.315,0.323,11.92
BONW 92,0,18-08-2017,230,3,Necrophila,americana,F,0.9818,0.318,0.324,13.78
MASS 9,0,21-06-2017,172,2,Necrophila,americana,F,0.9749,0.316,0.324,12.98
PANG 29,0,22-08-2017,234,3,Necrophila,americana,F,0.9808,0.318,0.324,14.12
MASS 138,0,21-06-2017,172,2,Necrophila,americana,F,0.9797,0.319,0.326,12.23
PANG 118,0,03-08-2017,215,3,Necrophila,americana,F,0.979,0.319,0.326,12.22
BRAC 122,0,27-06-2017,178,2,Necrophila,americana,F,0.9773,0.319,0.326,12.7
CAPE 60,0,15-06-2017,166,2,Necrophila,americana,F,0.9746,0.32,0.328,13.39
HUGH 133,0,10-08-2017,222,3,Necrophila,americana,F,0.9835,0.323,0.328,14.06
